Acceleration_X,Acceleration_Y,Acceleration_Z,User Accelerometer_x,User Accelerometer_y,User Accelerometer_z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,Activity,user
"
-3.95",-7.37,-11.55,-2.42,-7.1,2.91,0.93,-2.15,-0.19,5.78,6.79,38.55,brisk walking,aratrik
"
9.30",-11.32,5.39,-0.09,5.4,1.55,-0.52,1.37,0.7,8.89,5.48,40.5,brisk walking,aratrik
"
12.92",-9.43,0.24,-4.06,-4.8,2.48,2.3,1.8,1.06,9.41,7.09,40.76,brisk walking,aratrik
"
0.97",-14.69,1.84,3.91,0.01,-3.07,-1.39,-0.42,-1.26,7.44,7.78,40.95,brisk walking,aratrik
"
-4.07",-1.94,-2.3,3.02,-4.35,0.43,-0.31,-0.22,-1.77,4.71,6.68,41.4,brisk walking,aratrik
"
-1.42",-3.48,1.71,-5.11,0.73,2.89,0.47,-0.37,0.72,3.68,5.42,41.46,brisk walking,aratrik
"
2.93",-11.99,-14.1,-5,-5.22,-1.93,1.09,0.54,1.69,2.96,4.86,41.21,brisk walking,aratrik
"
-0.88",-20.49,0.61,2.28,2.39,1.47,0.17,2.52,-0.05,0.34,6.66,40.61,brisk walking,aratrik
"
-1.17",-0.08,2.11,6.56,-1.07,-5.06,-1.36,0.33,-2.54,-3.68,5.44,40.28,brisk walking,aratrik
"
-23.30",-19.74,-23.24,-5.34,-5.62,1.4,0.82,-2.54,-0.12,-5.87,4.97,40.63,brisk walking,aratrik
"
7.19",-4.06,3.39,-1.73,0.82,-1.3,0.12,1.09,1.72,-6.77,3.36,40.93,brisk walking,aratrik
"
16.18",-3.95,-5.75,-3.79,-2.72,3.66,1.33,2.26,0.69,-9.02,4.65,39.62,brisk walking,aratrik
"
-0.61",-12.47,-0.33,5.83,2.01,-2.23,-1.69,-0.03,-2.17,-12.26,4.89,38.29,brisk walking,aratrik
"
8.76",-8.25,-8.54,0.09,-5.97,0.89,0.77,-1.2,-0.85,-15.54,4.35,37.63,brisk walking,aratrik
"
0.52",-1.51,3.2,-5.07,4.38,2.03,-0.25,-0.2,0.7,-17.18,2.34,37.46,brisk walking,aratrik
"
2.31",-12.71,-13.69,-1.51,-5.22,-0.41,1.63,0.66,1.3,-17.03,1.37,37.91,brisk walking,aratrik
"
-0.21",-19.03,1.84,2.26,1.97,0.38,-0.42,1.13,-0.09,-18,3.28,36.83,brisk walking,aratrik
"
3.15",-3.62,0.5,3.36,-2.04,-3.23,-0.79,0.12,-1.84,-21.24,3.36,35.25,brisk walking,aratrik
"
-2.42",-28.85,6.61,-3.56,-1.86,1.31,0.57,-1.14,-0.22,-22.48,2.1,35.1,brisk walking,aratrik
"
6.99",-5.71,-0.38,-2.71,-0.55,-2.68,-0.36,-0.02,1.12,-22.88,-0.38,35.46,brisk walking,aratrik
"
10.76",-7.95,-10.82,-3,-2.4,5.22,1.31,2.02,1.23,-22.58,1.88,35.64,brisk walking,aratrik
"
2.06",-6.73,-1.63,5.12,3.25,-2.4,-1.57,0.33,-2.43,-24,2.85,34.31,brisk walking,aratrik
"
-1.11",-0.32,-6.73,-1.37,-6.92,0.48,0.61,-1.32,-0.37,-25.74,2.18,33.11,brisk walking,aratrik
"
-3.40",-2.52,2.15,-3.79,5.28,2.79,-0.18,0.24,0.18,-26.48,0.54,32.91,brisk walking,aratrik
"
6.21",-9.2,2.86,-2.2,-5.06,-0.65,1.12,0.41,1.37,-26.76,-0.38,32.53,brisk walking,aratrik
"
0.77",-18.65,3.85,0.72,0.62,0.72,-0.41,0.85,0.35,-27.36,1.91,31.2,brisk walking,aratrik
"
2.45",-5.33,0.6,5.86,-0.31,-1.55,-0.38,-0.29,-2.27,-29.78,1.76,28.91,brisk walking,aratrik
"
-10.25",-6.96,5.47,-3.39,-4.46,1.45,0.52,-1.54,-0.33,-29.91,0.73,28.78,brisk walking,aratrik
"
4.59",-7.12,2.77,-3.17,0.82,-0.7,-0.14,-0.05,1.33,-29.33,-1.63,29.7,brisk walking,aratrik
"
16.75",-3.43,-2.94,-3.54,-4.7,4.41,1.19,2.52,1.24,-29.93,-0.56,29.53,brisk walking,aratrik
"
-1.29",-12.13,0.2,5.61,2.37,-1.79,-1.33,-0.14,-2.33,-30.73,1.33,28.5,brisk walking,aratrik
"
2.26",-9.12,-16.02,-2.96,-6.91,1.16,0.44,-1.15,-0.73,-31.71,1.03,28.03,brisk walking,aratrik
"
-4.02",-2.68,1.05,-4.7,4.47,3.46,0.02,0.05,0.34,-31.18,-0.36,28.03,brisk walking,aratrik
"
1.11",-12.39,-1.74,-1.51,-4.72,-1.04,1.04,0.45,1.32,-30.58,-2.16,29.08,brisk walking,aratrik
"
7.35",-17.1,-7.37,0.31,1.51,0.73,0.26,0.8,0.89,-30.81,-0.13,28.59,brisk walking,aratrik
"
1.39",-8.11,0.23,5.44,-0.35,-0.98,-1.65,-0.35,-2.16,-32.23,0.69,27.19,brisk walking,aratrik
"
13.85",-22.94,-10.92,-3.87,-5.47,2.07,1.03,-1.63,-0.17,-32.66,0.13,26.64,brisk walking,aratrik
"
7.86",-15.18,6.57,-2.73,4.57,1.31,-0.69,0.37,0.02,-32.21,-2.27,27.69,brisk walking,aratrik
"
6.16",-8.55,-0.91,-0.76,-2.99,2.67,1.71,0.86,1.08,-31.16,-2.57,29.04,brisk walking,aratrik
"
2.42",-17.76,2.3,0.91,-0.78,-1.05,-0.81,-0.28,-0.26,-30.79,-0.24,29.76,brisk walking,aratrik
"
0.74",-2.23,1.59,2.93,-2.78,-0.01,-0.73,0.03,-1.57,-30.79,-0.45,29.72,brisk walking,aratrik
"
2.22",-30.93,-1.28,-4.8,-0.23,2.58,0.58,0.22,-0.09,-30.51,-1.54,30,brisk walking,aratrik
"
4.95",-5.57,1.24,-2.08,-3.28,-2.47,-0.19,-0.55,1.54,-30.15,-3.38,30.88,brisk walking,aratrik
"
10.54",-7.37,1.59,-1.31,0.44,3.87,1.16,2.39,0.92,-30.15,-2.21,30.81,brisk walking,aratrik
"
-6.97",-11.49,2.84,4.57,2.23,-2.7,-1.49,-0.72,-2.07,-30.98,-0.26,29.48,brisk walking,aratrik
"
-1.54",-2.64,-6.46,-1.38,-8.2,2.93,0.68,-0.95,-0.65,-31.84,-0.41,28.35,brisk walking,aratrik
"
-4.21",-0.58,4.52,-5.2,6.39,1.97,-0.71,0.56,0.53,-32.04,-1.63,27.92,brisk walking,aratrik
"
9.11",-9.71,4.36,-1,-5.63,0.72,1.23,0.5,1.53,-32.4,-3.09,27.56,brisk walking,aratrik
"
7.06",-16.24,5.08,0.06,1.14,1.3,-0.2,1.2,0.18,-33.66,0.47,25.61,brisk walking,aratrik
"
3.53",-3,0.17,6.74,-0.09,-1.74,-0.89,-0.42,-2.42,-34.69,1.61,23.19,brisk walking,aratrik
"
2.70",-13.75,-6.31,-6.47,-6.39,1.95,0.62,-1.24,-0.23,-35.21,1.09,22.76,brisk walking,aratrik
"
2.35",-7.28,1.34,-2.21,0.71,-0.66,-0.3,0.35,1.42,-36.13,-1.2,22.43,brisk walking,aratrik
"
12.99",-9.01,1.3,-4.26,-4.34,4.49,1.42,1.62,1.53,-36.47,-0.84,22.54,brisk walking,aratrik
"
-3.32",-17.31,1.54,-4.26,-4.34,4.49,-1.35,-0.77,-2.32,-36.73,1.73,20.44,brisk walking,aratrik
"
-2.75",-2.94,3.01,4.53,1.82,-1.07,0.61,-1.32,-1.07,-37.59,0.77,18.66,brisk walking,aratrik
"
-1.40",-4.59,3.12,0.06,-7.71,1.72,-0.24,0.13,0.66,-36.58,0.08,19.39,brisk walking,aratrik
"
5.17",-2.85,-0.16,-2.14,-5.72,-0.92,1.15,0.42,1.48,-36.04,-1.78,20.96,brisk walking,aratrik
"
12.53",-12.21,-2.12,0.48,2.23,1.92,0.36,1.85,0.5,-35.79,0.41,20.27,brisk walking,aratrik
"
-1.39",-9.64,2.11,0.48,2.23,1.92,-1.36,-0.8,-2.45,-36.15,2.63,20.18,brisk walking,aratrik
"
3.15",-12.31,-22.6,6.98,-0.59,-1.87,0.62,-2.59,-0.3,-35.91,2.29,20.25,brisk walking,aratrik
"
-2.90",-7.99,2.84,-4.85,-6.71,3.23,-0.18,2.44,1.01,-34.67,0.04,21.79,brisk walking,aratrik
"
6.80",-4.78,1.46,-1.35,2.25,1.75,-0.18,2.44,1.01,-34.67,-1.18,23.18,brisk walking,aratrik
"
-0.62",-22.45,6.21,-4.54,-2.9,1.87,-1.34,-0.52,-1.07,-34.88,2.53,22.09,brisk walking,aratrik
"
-3.08",-0.93,1.34,3.23,1.22,-2.36,-0.31,-0.64,-1.9,-35.89,2.85,20.64,brisk walking,aratrik
"
-10.63",-42.79,-7.68,4.3,-4.93,1.91,0.25,-0.24,0.12,-35.68,2.23,20.74,brisk walking,aratrik
"
2.47",-10.41,2.53,-7.72,0.04,3.92,0.2,-0.01,1.66,-35.66,-0.38,21.84,brisk walking,aratrik
"
5.87",-13.44,3.38,-3.49,-5.5,-2.28,0.2,-0.01,1.66,-35.08,0.6,21.47,brisk walking,aratrik
"
-1.22",-30.37,2.49,-1.24,2.25,3.63,0.98,2.16,1.13,-35.25,2.68,19.99,brisk walking,aratrik
"
-4.21",0.44,3.03,6.4,0.7,-1.66,-1.51,-0.77,-2.42,-36.26,2.48,19.01,brisk walking,aratrik
"
0.95",-11.56,4.07,-3.33,-8.26,2.41,0.65,-2.1,-0.47,-35.55,0.53,20.14,brisk walking,aratrik
"
5.39",-3.38,5.42,-2.87,6.05,1.71,-0.52,1.38,0.72,-35.42,-1.54,21.81,brisk walking,aratrik
"
10.03",-14.5,0.89,-2.96,-4.8,2.77,2.06,0.94,1.58,-34.97,0.24,20.53,brisk walking,aratrik
"
-3.43",-11.23,2.69,3.53,0.41,-1.97,-0.63,0.17,-0.42,-35.78,1.89,18.9,brisk walking,aratrik
"
18.49",-11.95,-12.65,5.04,-2.6,-0.61,-0.87,-0.28,-2.11,-36.09,1.35,18.26,brisk walking,aratrik
"
0.52",-5.3,3.01,-6.48,-3.32,3.07,0.36,-1.25,-0.37,-36.17,-0.69,19.13,brisk walking,aratrik
"
1.39",-18.18,-25.19,-2.61,0.26,-1,-0.1,0.3,1.79,-36,-1.24,19.97,brisk walking,aratrik
"
-0.79",-22.92,4.08,-3.14,-3.11,4.06,1.44,1.82,1.29,-36.58,2.79,18.98,brisk walking,aratrik
"
0.58",-3.58,0.05,5.05,1.31,-0.59,-1.44,-1.54,-2.14,-37.78,3.56,17.93,brisk walking,aratrik
"
5.58",-8.58,-11.4,0.85,-7.67,3.27,0.15,-0.98,-1.29,-37.52,1.99,18.69,brisk walking,aratrik
"
1.71",-20.72,-0.28,-6.67,4.12,4.52,0.17,0.33,0.63,-37.16,-0.56,20.91,brisk walking,aratrik
"
3.09",-10.28,-0.22,-1.06,-6.19,-1.41,0.65,0.18,1.32,-37.03,-0.06,21.66,brisk walking,aratrik
"
-4.60",-21.31,4.96,-0.97,2.83,2.81,0.9,2.3,0.95,-36.88,2.98,20.55,brisk walking,aratrik
"
0.82",-3.33,0.62,7.16,0.62,-1.84,-1.46,-1.24,-2.56,-36.92,3.54,19.52,brisk walking,aratrik
"
-0.32",-13.66,-2.39,-3.31,-8.02,3.56,0.6,-1.63,-0.54,-36.58,1.39,20.57,brisk walking,aratrik
"
2.31",-7.39,3.36,-5.21,5.42,2.51,-0.42,0.97,0.71,-36.32,-0.88,22.5,brisk walking,aratrik
"
13.16",-10.28,2.43,-0.14,-4.51,0.89,1.42,0.48,1.49,-36.41,1.18,21.66,brisk walking,aratrik
"
-5.43",-12.09,2.76,2.14,1.56,1.48,-0.21,1.18,-0.21,-37.13,2.83,19.52,brisk walking,aratrik
"
-5.55",-1.9,-3.3,7.42,-2.15,-3.23,-0.98,-0.9,-2.33,-37.67,1.93,19.31,brisk walking,aratrik
"
-0.13",-3.38,1.63,-6.95,-5.77,5.14,0.42,-1.68,-0.45,-36.73,-0.32,20.53,brisk walking,aratrik
"
5.17",-3.49,5.4,-2.91,0.4,0.3,0.19,1,1.87,-36.6,-1.63,21.53,brisk walking,aratrik
"
11.39",-15.5,-5.24,-3.03,-3.2,3.68,1.49,2.02,1.31,-36.53,1.46,19.91,brisk walking,aratrik
"
2.77",-1.05,-0.67,4.79,1.53,-0.79,-1.41,-0.95,-1.8,-37.39,2.4,17.68,brisk walking,aratrik
"
12.63",-20.13,-1.59,2.07,-6.58,3.13,0.03,-0.84,-1.53,-37.18,1.8,17.61,brisk walking,aratrik
"
2.00",-11.36,1.07,-6.49,2.98,4.21,0.01,0.13,0.79,-37.35,0.04,17.93,brisk walking,aratrik
"
-1.35",-14.2,-15.45,-2.33,-5.47,-0.99,0.83,0.22,1.6,-37.09,0.56,17.87,brisk walking,aratrik
"
-3.60",-24.96,2.75,1.34,2.69,2.62,0.6,2.05,0.55,-37.56,3.66,15.92,brisk walking,aratrik
"
-4.08",-0.08,2.76,7.77,-0.51,-2.08,-1.36,-1.09,-2.64,-38.68,4.01,14.74,brisk walking,aratrik
"
-11.74",-43.19,-3.97,-5.18,-7.27,4.23,0.35,-2.27,-0.34,-38.1,2.44,14.89,brisk walking,aratrik
"
5.20",-3.44,4.46,-0.53,2.19,2.55,-0.05,1.92,1.04,-38.55,0.96,16.35,brisk walking,aratrik
"
15.52",-8.52,-1.15,-4.71,-2.81,2.69,2.03,1.06,0.94,-38.4,2.57,15.88,brisk walking,aratrik
"
-3.72",-12.58,3.25,2.49,0.99,-2.31,-1.37,-0.59,-0.92,-38.93,4.03,14.25,brisk walking,aratrik
"
24.63",-15.5,1.65,3.7,-4.8,2.46,-0.49,-0.26,-2.02,-38.63,3.09,13.54,brisk walking,aratrik
"
-0.77",-0.17,1.41,-6.3,-0.64,3.44,0.36,-0.82,0.3,-38.12,0.83,14.53,brisk walking,aratrik
"
5.60",-7.38,3.26,-4.41,-4.87,-0.98,0.3,0.31,1.61,-37.97,-0.73,15.58,brisk walking,aratrik
"
11.03",-13.26,-3.46,-0.23,1.48,3.72,1.11,2.12,1.17,-38.57,2.21,13.86,brisk walking,aratrik
"
8.98",-3.29,-1.95,5.5,1.23,-1.35,-1.56,-1.04,-2.55,-39.32,3.47,11.83,brisk walking,aratrik
"
5.95",-24.68,-16.03,-1.82,-8.77,2.46,0.35,-1.86,-1.06,-38.38,2.42,12.6,brisk walking,aratrik
"
0.27",-13.02,1.58,-5.62,4.55,4.86,0.45,0.87,1,-37.76,-0.32,13.89,brisk walking,aratrik
"
-0.78",-10.44,3.36,-0.02,-5.21,-1.04,0.86,0.21,1.56,-37.54,0.43,14.81,brisk walking,aratrik
"
-0.13",-24.46,0.85,1.11,2.69,3.71,0.57,1.59,0.51,-37.56,3.69,13.63,brisk walking,aratrik
"
1.92",-3.13,0.98,7.81,-1.07,-3.42,-1.45,-0.98,-2.48,-37.97,3.58,12.54,brisk walking,aratrik
"
-4.15",-0.17,4.57,-4.35,-7.35,4.34,0.61,-2.54,-0.48,-37.5,1.16,13.86,brisk walking,aratrik
"
3.59",-19.9,2.73,-1.91,5.01,3.03,-0.23,1.59,0.99,-36.9,-0.98,16.54,brisk walking,aratrik
"
11.57",-12.8,5.71,-2.45,-4.53,1.98,2.39,1.27,1.5,-36.41,0.62,16.73,brisk walking,aratrik
"
-9.73",-16.88,-0.29,3.97,0.02,-2.17,-1.41,-0.71,-1.3,-36.51,3.11,15.69,brisk walking,aratrik
"
-4.22",-0.35,1.51,5.8,-5.13,3.5,-0.73,-0.58,-1.97,-36.54,2.34,15.62,brisk walking,aratrik
"
-0.06",-1.38,1.2,-9.43,-0.92,4.14,0.47,-0.15,0.87,-35.87,0.28,16.91,brisk walking,aratrik
"
3.70",-4.93,2,-3.91,-4.89,-1.21,0.67,-0.2,1.45,-35.1,-0.75,18.69,brisk walking,aratrik
"
9.31",-13.86,-4.46,1.59,2.86,2.19,1.03,2.9,0.78,-34.88,1.93,17.44,brisk walking,aratrik
"
0.80",-5.05,-0.71,7.59,0.31,-2.85,-1.72,-1.08,-2.62,-36.3,3.13,15.56,brisk walking,aratrik
"
0.56",-4.65,-3.95,-4.27,-8.11,3.68,0.44,-2.54,-0.23,-35.93,2.44,15.84,brisk walking,aratrik
"
2.95",-8.65,4.41,-1.57,4.28,1.99,-0.06,1.82,0.55,-36.28,-0.15,16.74,brisk walking,aratrik
"
7.27",-12.99,0.86,-3.67,-3.37,1.92,1.97,1.2,1.41,-36.38,0.49,16.78,brisk walking,aratrik
"
-2.66",-25.29,3.63,3.21,0.48,-1.76,-1.14,-0.22,-0.63,-36.56,2.93,15.13,brisk walking,aratrik
"
-5.09",1,2.25,5.89,-3.64,1.04,-0.33,-1.04,-2.3,-36.94,3,14.53,brisk walking,aratrik
"
7.27",-24.59,-5.5,-6.62,-2.65,3.83,0.37,-0.88,-0.1,-36.28,1.13,15.34,brisk walking,aratrik
"
1.86",-6.35,6.11,-3.89,-1.09,-0.1,0.18,-0.11,1.73,-35.76,-0.69,18.02,brisk walking,aratrik
"
13.12",-8.94,-8.77,-1.13,-1.02,2.87,1.33,1.98,1.24,-35.19,1.52,17.93,brisk walking,aratrik
"
8.46",-3.09,-5.1,6.44,1.02,-1.43,-1.69,-0.72,-2.48,-35.64,2.96,17.34,brisk walking,aratrik
"
24.61",-24.89,7.78,-3.4,-7.91,3.96,0.88,-2.18,-0.49,-34.43,3.19,18.68,brisk walking,aratrik
"
1.99",-19.84,-0.35,-3.71,5.69,0.86,-0.51,1.35,0.53,-34.31,0.47,20.4,brisk walking,aratrik
"
4.32",-11.12,3.98,0.63,-4.42,2.8,2.04,0.07,1.7,-34.09,-0.04,21.96,brisk walking,aratrik
"
1.70",-21.31,6.63,1.66,0.58,-1.58,-1.03,-0.01,-0.45,-33.56,3,22.03,brisk walking,aratrik
"
-0.47",0.09,3.11,6.14,-2.59,1.2,-0.75,-0.81,-2.26,-33.51,3.15,22.26,brisk walking,aratrik
"
-4.95",-11.81,5.09,-6.22,-3.14,5.08,0.23,-0.81,-0.45,-31.52,2.08,24.15,brisk walking,aratrik
"
-1.21",-9.55,6.06,-2.62,0.53,0.2,-0.04,0.51,1.84,-30.6,-0.02,26.44,brisk walking,aratrik
"
15.10",-9.09,-3.09,-2.1,-2.79,3.88,1.53,1.33,1.51,-29.87,1.97,27.39,brisk walking,aratrik
"
-1.75",-18.04,1.16,4.23,0.69,-0.78,-1.58,-1.63,-1.91,-29.63,3.88,27.51,brisk walking,aratrik
"
-5.98",-2.76,1.1,1.22,-7.45,3.2,0.07,-1.3,-1.64,-28.91,3.94,28.74,brisk walking,aratrik
"
1.74",-4.46,2.2,-5.34,4.11,6.05,0.1,0.68,1.1,-26.93,1.44,30.77,brisk walking,aratrik
"
0.99",-6.13,-1.32,-0.58,-6.05,-0.58,1.27,0.21,1.48,-25.65,-0.13,33.04,brisk walking,aratrik
"
3.40",-18.07,-2.16,1.26,3.38,1.71,0.23,1.35,0.48,-25.01,2.63,32.94,brisk walking,aratrik
"
-0.17",-5.15,-0.13,8.18,-1.22,-1.84,-1.3,-1.26,-2.65,-25.33,3.99,32.93,brisk walking,aratrik
"
6.75",-6.6,-8.68,-4.18,-7.27,4.52,0.33,-2.69,-0.32,-23.18,3.71,34.03,brisk walking,aratrik
"
0.50",-6.76,0.85,-2.14,2.57,2.13,0.25,1.56,1.17,-20.21,1.58,36.41,brisk walking,aratrik
"
8.33",-12.04,3.72,-2.05,-1.06,3.26,1.68,1.13,1.29,-18.62,2.21,37.84,brisk walking,aratrik
"
14.03",-7.41,-5.2,-2.05,-1.06,3.26,1.68,1.13,1.29,-18.62,2.21,37.84,brisk walking,aratrik
"
0.70",-2.91,2.38,-6.3,0.27,5.36,0.01,0.43,0.62,-14.81,5.55,38.06,brisk walking,aratrik
"
2.14",-5.02,-2.87,-1.77,-5.72,-0.21,1.16,-0.01,1.57,-12.09,3.99,40.05,brisk walking,aratrik
"
8.93",-13.31,-2.76,-0.69,3.13,2.85,0.63,2.14,0.82,-10.78,5.49,39.66,brisk walking,aratrik
"
2.05",-7.18,-1.68,9.14,0.6,-1.9,-1.39,-1.34,-2.81,-10.88,6.41,39.88,brisk walking,aratrik
"
27.01",-15.45,-1.8,-5,-8.5,4.13,0.21,-1.92,-0.19,-10.65,6.08,39.98,brisk walking,aratrik
"
-0.37",-2.06,3.71,-1.95,5.56,2.1,0.27,1.29,0.89,-8.46,5.44,40.52,brisk walking,aratrik
"
-2.48",-12.44,-4.32,-1.67,-4.63,1.92,1.96,1.01,1.3,-6.64,4.46,41.06,brisk walking,aratrik
"
-1.58",-24.04,4.46,2.83,1.17,-1.36,-1.22,-0.15,-0.89,-7.58,6.13,40.63,brisk walking,aratrik
"
-2.19",0.53,2.28,5.55,-3.43,2.18,-0.65,-0.71,-2.28,-8.91,6.47,41.38,brisk walking,aratrik
"
-6.03",-41.67,2.65,-6.68,-2.79,4.02,0.42,-0.9,0.12,-7.93,5.7,41.61,brisk walking,aratrik
"
4.49",-7.1,2.55,-4.84,-3.62,-1.35,1.16,-0.02,2.06,-5.81,3.81,42.43,brisk walking,aratrik
"
17.48",-7.88,-5.81,1.28,1.61,3.69,0.96,2.87,0.56,-5.64,4.71,41.18,brisk walking,aratrik
"
0.57",-9.66,-1.14,7.04,0.34,-3.42,-1.4,-1.47,-2.83,-7.52,5.66,40.37,brisk walking,aratrik
"
36.19",-23.95,-2.03,-3.83,-8.84,3.58,0.1,-1.65,-0.26,-7.84,5.03,40.33,brisk walking,aratrik
"
-0.34",-13.66,1.08,-3.76,5.29,1.87,0.26,1.29,1.03,-7.01,3.81,40.31,brisk walking,aratrik
"
0.44",-13.08,-8.13,-3.76,5.29,1.87,1.75,0.79,1.26,-5.18,2.44,41.25,brisk walking,aratrik
"
-3.14",-24.38,2.17,3.01,0.59,-2.16,-1.18,-0.12,-0.92,-5.42,5.06,41.31,brisk walking,aratrik
"
-3.54",1.08,1.11,3.01,0.59,-2.16,-0.28,-0.48,-2.28,-6.98,5.27,40.65,brisk walking,aratrik
"
-7.72",-38.85,-1.49,3.49,-4.89,1.14,0.01,-0.29,0.34,-7.33,5.03,40.65,brisk walking,aratrik
"
3.26",-7.09,-0.61,-2.34,-5.48,-1.18,1.01,0.03,2.01,-7.13,3.17,40.8,brisk walking,aratrik
"
9.96",-9.61,-6.4,-1.27,2.89,2.23,0.71,1.62,0.73,-6.04,4.44,41.33,brisk walking,aratrik
"
-2.85",-20.71,3.71,-1.27,2.89,2.23,0.71,1.62,0.73,-6.09,5.74,41.59,brisk walking,aratrik
"
-5.38",2.18,0.93,6.9,0.06,-3.01,-1.5,-1.67,-2.81,-6.38,5.91,41.36,brisk walking,aratrik
"
-0.73",-7.69,4.67,-4.93,-8.09,4.07,-0.1,-1.5,0.02,-4.97,5.31,41.7,brisk walking,aratrik
"
3.53",-11.3,-5.94,-1.77,4.39,2.69,1.88,1.49,1.11,-3.47,4.28,41.76,brisk walking,aratrik
"
-4.41",-20.69,6.65,-3.59,-3.05,2.56,-1.04,-0.42,-0.89,-3.41,6.53,41.29,brisk walking,aratrik
"
-1.06",-0.42,0.95,2.69,0.24,-1.33,-0.73,-0.16,-2.23,-4.29,7.16,40.52,brisk walking,aratrik
"
-7.36",-8.34,-1.81,3.76,-4.27,1.49,-0.73,-0.16,-2.23,-3.81,6.68,40.26,brisk walking,aratrik
"
-0.30",-14.01,2.54,-7.56,-2.01,3.21,0.51,-0.5,0.12,-3.23,5.36,40.44,brisk walking,aratrik
"
6.89",-12.25,-11.25,-4.45,-4.22,-1.26,0.6,1.12,1.85,-4.09,6.13,39.84,brisk walking,aratrik
"
-8.41",-38.98,1.83,-2.25,1.7,2.85,0.95,2.09,1.01,-5.55,7.99,39.11,brisk walking,aratrik
"
0.08",4.08,4.55,8.01,0.23,-3.17,-2,-1.27,-2.6,-7.99,6.92,38.61,brisk walking,aratrik
"
1.03",-23.12,10.55,-4.88,-10.44,2.44,-0.5,-2.35,-1.16,-7.93,5.06,38.18,brisk walking,aratrik
"
4.90",-3.84,-2.49,-3.52,7.13,5.69,1.02,1.88,1.07,-8.81,2.59,36.68,brisk walking,aratrik
"
15.79",-8.5,1.18,-5.83,-4.7,0.24,2.09,2.27,1.56,-11.78,5.23,34.31,brisk walking,aratrik
"
-8.94",-12.89,2.56,4.7,-1.81,-2.56,0.09,0.76,0.43,-14.93,6.64,32.64,brisk walking,aratrik
"
6.82",-6.19,-13.49,6.83,-1.92,-4.18,-1.71,0.27,-2.71,-19.5,4.69,30.11,brisk walking,aratrik
"
0.75",-10.54,1.53,-8.39,-5.19,0.83,-0.17,-1.07,-0.41,-21.64,2.19,28.97,brisk walking,aratrik
"
-1.95",-11.32,-0.17,-2.42,2.34,-2.48,0.87,0.65,1.6,-23.76,1.48,27.11,brisk walking,aratrik
"
5.44",-12.24,-2.41,-1.43,-3.42,2.98,0.89,1.64,1.49,-25.73,3.99,23.55,brisk walking,aratrik
"
0.51",-4.24,-0.01,5.16,1.08,-2.3,-1.52,-1.09,-1.64,-29.85,4.82,21.17,brisk walking,aratrik
"
9.27",-21.18,-12.08,2.85,-5.94,1.05,-0.24,-0.61,-1.93,-31.18,3.43,20.01,brisk walking,aratrik
"
0.33",-19.72,-0.8,-6.59,2.51,2.64,0.25,-0.19,1.01,-31.71,0.66,20.33,brisk walking,aratrik
"
14.36",-10.35,2.83,0.96,-5.06,-1.06,1.12,0.8,1.26,-33.04,0.45,19.46,brisk walking,aratrik
"
6.53",-18.22,4.1,-0.33,3.2,0.69,0.58,1.59,1,-32.83,3.86,17.74,brisk walking,aratrik
"
-3.61",-1.6,3.74,8.4,-0.46,-2.65,-1.03,-1.53,-3.17,-32.46,4.16,18.38,brisk walking,aratrik
"
-3.61",-7.89,4.34,-2.56,-9.41,2.51,-0.17,-2.15,-0.32,-31.33,2.12,20.1,brisk walking,aratrik
"
2.25",-9.2,6.85,-7.18,6.66,3.7,0.5,1.62,0.83,-31.37,0.11,22.09,brisk walking,aratrik
"
12.46",-9.74,-0.96,1.47,-5.22,-1.16,1.07,0.45,1.77,-30.9,2.23,21.62,brisk walking,aratrik
"
-5.49",-12.48,3.15,2.35,1.87,0.77,-0.01,1.22,-0.46,-31.63,4.61,20.66,brisk walking,aratrik
"
-1.27",0.48,-0.3,6.74,-2.46,-3.65,-1.28,-0.43,-2.49,-31.63,4.13,20.46,brisk walking,aratrik
"
-2.28",-3.46,3.54,-7.97,-5.34,3.28,0.22,-1.03,-0.22,-30.9,1.73,21.45,brisk walking,aratrik
"
-1.84",-6.43,-4.71,-2.14,1.74,-0.92,0.48,0.08,2.05,-30.51,0.71,22.31,brisk walking,aratrik
"
1.51",-16.82,2.15,-1.15,-3.17,3.42,1.35,2.27,1.15,-31.35,3.28,19.67,brisk walking,aratrik
"
0.94",-2.12,-0.22,5.33,1.52,-2.15,-1.72,-1.57,-2.23,-33.24,4.22,17.06,brisk walking,aratrik
"
9.29",-31.41,-6.38,0.15,-8.1,2.84,-0.46,-0.72,-1.22,-33.13,2.51,16.76,brisk walking,aratrik
"
2.01",-13.93,0.94,-6.11,5.96,4.87,0.54,0.78,0.52,-33.39,0.13,16.97,brisk walking,aratrik
"
15.99",-11.42,2.11,-1.33,-5.44,-1.26,1.22,0.55,2.22,-32.87,1.35,16.37,brisk walking,aratrik
"
-5.95",-15.58,4.84,2.57,1.7,0.01,-0.11,0.76,-0.14,-33.28,4.22,15.11,brisk walking,aratrik
"
-4.77",3.2,1.54,7.33,-2.29,-1.38,-1.34,-0.92,-2.41,-33.79,4.82,14.31,brisk walking,aratrik
"
-1.77",-0.38,5.79,-7.41,-5.41,4.75,0.34,-0.89,-0.69,-33.45,3.88,15.83,brisk walking,aratrik
